SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
S R-19019(0.50),Marquise,1.25,20.0,,,,,,,,,,,,,,,7 * 4,1.0,,,21.15,8.21,0.47,204.41,3.209237,0.6418474000000001,2.5673896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19019(1.00),Marquise,1.4,18.0,,,,,,,,,,,,,,,9 * 4.5,1.0,,,21.15,10.3,0.78,228.23,3.5832109999999995,0.7166421999999999,2.8665687999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19019(1.50),Marquise,1.4,18.0,,,,,,,,,,,,,,,11 * 5.5,1.0,,,21.15,12.53,1.27,255.21,4.006797,0.8013593999999999,3.2054375999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19019(2.00),Marquise,1.4,18.0,,,,,,,,,,,,,,,12.5 * 6.25,1.0,,,21.15,14.11,1.71,279.51,4.388306999999999,0.8776613999999999,3.5106455999999993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19020(0.50),Pear,1.25,20.0,,,,,,,,,,,,,,,,,5.8 * 3.8,1.0,21.15,6.43,0.46,197.15,3.095255,0.619051,2.476204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19020(1.00),Pear,1.4,18.0,,,,,,,,,,,,,,,,,7.5 * 5,1.0,21.15,8.25,0.88,218.95,3.4375149999999994,0.687503,2.7500119999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19020(1.50),Pear,1.4,18.0,,,,,,,,,,,,,,,,,9 * 6,1.0,21.15,9.86,1.38,234.07,3.6748989999999995,0.7349798,2.9399191999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19020(2.00),Pear,1.4,18.0,,,,,,,,,,,,,,,,,9.5 * 6.5,1.0,21.15,10.57,1.56,243.9,3.82923,0.765846,3.063384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19021(0.50),Round,4.6,1.0,,,,,,,,,,,,,,,,,,,21.1,8.39,0.48,289.01,4.537457,0.9074914000000001,3.6299656
,,1.3,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19021(1.00),Round,6.0,1.0,,,,,,,,,,,,,,,,,,,21.1,9.56,0.96,307.87,4.833558999999999,0.9667117999999999,3.8668471999999996
,,1.39,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19021(1.50),Round,6.8,1.0,,,,,,,,,,,,,,,,,,,21.1,10.84,1.42,391.23,6.142310999999999,1.2284622,4.913848799999999
,,1.6,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19021(2.00),Round,7.5,1.0,,,,,,,,,,,,,,,,,,,21.1,11.8,1.91,441.14,6.925897999999999,1.3851795999999998,5.540718399999999
,,1.75,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19022(0.50),Princess,1.25,16.0,3.75,1.0,,,,,,,,,,,,,,,,,21.1,7.32,0.45,274.55,4.310435,0.862087,3.448348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19022(1.00),Princess,1.5,16.0,4.8,1.0,,,,,,,,,,,,,,,,,21.1,8.44,0.92,307.92,4.834344,0.9668688,3.8674752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19022(1.50),Princess,1.4,20.0,6.0,1.0,,,,,,,,,,,,,,,,,21.1,9.9,1.56,370.72,5.820304,1.1640608000000001,4.6562432000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19022(2.00),Princess,1.5,20.0,6.6,1.0,,,,,,,,,,,,,,,,,21.1,10.64,2.03,406.51,6.382206999999999,1.2764414,5.1057656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19023(0.50),Cushion,1.4,12.0,,,4.0,1.0,,,,,,,,,,,,,,,21.1,7.81,0.45,278.57,4.373549,0.8747098,3.4988392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19023(1.00),Cushion,1.4,16.0,,,5.3,1.0,,,,,,,,,,,,,,,21.1,8.85,0.96,304.34,4.778137999999999,0.9556275999999999,3.8225103999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19023(1.50),Cushion,1.5,16.0,,,6.0,1.0,,,,,,,,,,,,,,,21.1,9.62,1.32,338.08,5.307855999999999,1.0615712,4.2462848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19023(2.00),Cushion,1.7,16.0,,,6.7,1.0,,,,,,,,,,,,,,,21.1,10.99,1.81,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19024(0.50),Oval,1.3,14.0,,,,,5.8 * 3.8,1.0,,,,,,,,,,,,,21.1,9.34,0.43,277.4,4.355179999999999,0.8710359999999998,3.4841439999999992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19024(1.00),Oval,1.4,16.0,,,,,7 * 5,1.0,,,,,,,,,,,,,21.1,10.72,0.83,306.42,4.810794,0.9621588,3.8486351999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19024(1.50),Oval,1.6,16.0,,,,,8 * 6,1.0,,,,,,,,,,,,,21.1,12.2,1.34,350.22,5.498454,1.0996908,4.398763199999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19024(2.00),Oval,1.75,16.0,,,,,8.7 * 6.7,1.0,,,,,,,,,,,,,21.1,13.13,1.76,376.8,5.91576,1.183152,4.732608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19025(0.50),Emerald,1.2,18.0,,,,,,,5.3 * 3.5,1.0,,,,,,,,,,,21.1,9.1,0.47,272.15,4.272754999999999,0.8545509999999998,3.4182039999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19025(1.00),Emerald,1.35,18.0,,,,,,,6.5 * 4.5,1.0,,,,,,,,,,,21.1,10.51,0.94,306.85,4.817545,0.9635090000000001,3.854036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19025(1.50),Emerald,1.5,18.0,,,,,,,7.3 * 5.3,1.0,,,,,,,,,,,21.1,11.73,1.34,336.7,5.2861899999999995,1.057238,4.228952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
