SKU Code,Diamond Size(mm),Diamond Count,Diamond Size (Cushion),Diamond Count.1,Diamond Size (Princess),Diamond Count.2,Diamond Size (Baguette),Diamond Count.3,Diamond Size (Marquise),Diamond Count.4,Diamond Size (Radiant),Diamond Count.5,Diamond Size (Heart),Diamond Count.6,Diamond Size (Pear),Diamond Count.7,Diamond Size (Emerald),Diamond Count.8,Diamond Size (Oval),Diamond Count.9,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
S ER-47(2.00),1.45,32.0,,,,,,,,,,,,,,,,,7.30 * 5.30,2.0,9.17,11.29,1.98,328.76,5.161531999999999,1.0323064,4.1292256
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-48(0.50),0.9,32.0,3.30 * 3.30,2.0,,,,,,,,,,,,,,,,,5.88,,0.43,115.36,1.8111519999999999,0.3622304,1.4489215999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-48(1.00),1.1,32.0,4.20 * 4.20,2.0,,,,,,,,,,,,,,,,,7.17,,0.89,173.25,2.7200249999999997,0.544005,2.17602
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-48(1.50),1.3,32.0,4.90 * 4.90,2.0,,,,,,,,,,,,,,,,,8.64,,1.48,251.14,3.9428979999999996,0.7885795999999999,3.1543183999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-48(2.00),1.35,32.0,5.30 * 5.30,2.0,,,,,,,,,,,,,,,,,8.8,,1.89,267.72,4.203204,0.8406408000000001,3.3625632000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-49(0.50),0.9,36.0,,,,,,,,,,,,,,,4.30 * 2.65,2.0,,,7.05,5.7,0.51,129.51,2.0333069999999998,0.40666139999999995,1.6266455999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-49(1.00),1.1,36.0,,,,,,,,,,,,,,,5.50 * 3.50,2.0,,,8.64,6.99,0.92,201.76,3.167632,0.6335264,2.5341055999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-49(1.50),1.3,36.0,,,,,,,,,,,,,,,6.00 * 4.00,2.0,,,10.15,8.21,1.42,297.11,4.664626999999999,0.9329253999999999,3.7317015999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-49(2.00),1.35,36.0,,,,,,,,,,,,,,,6.50 * 4.50,2.0,,,10.31,8.35,1.86,287.27,4.510139,0.9020277999999999,3.6081111999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-50(0.50),0.95,32.0,,,,,,,,,,,,,5.00 * 3.00,2.0,,,,,8.08,5.73,0.43,117.52,1.8450639999999998,0.3690128,1.4760512
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-50(1.00),1.1,32.0,,,,,,,,,,,,,5.80 * 3.80,2.0,,,,,9.49,6.88,0.78,172.63,2.710291,0.5420581999999999,2.1682327999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-50(1.50),1.4,32.0,,,,,,,,,,,,,7 * 4.50,2.0,,,,,11.77,8.53,1.49,307.18,4.822725999999999,0.9645451999999999,3.8581807999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-50(2.00),1.55,32.0,,,,,,,,,,,,,8 * 5,2.0,,,,,13.04,9.45,1.91,373.48,5.863636,1.1727272,4.6909088
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-51(0.50),0.9,44.0,,,,,,,,,,,3.50 * 3.50,2.0,,,,,,,8.58,8.53,0.44,155.56,2.4422919999999997,0.48845839999999996,1.9538335999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-51(1.00),1.0,2.0,,,,,,,,,,,4.75 * 4.75 ,2.0,,,,,,,10.2,10.11,0.97,231.9,3.64083,0.728166,2.912664
,1.1,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-51(1.50),1.25,44.0,,,,,,,,,,,5.50 * 5.50,2.0,,,,,,,11.51,11.45,1.49,318.72,5.003904,1.0007808,4.0031232
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-51(2.00),1.4,44.0,,,,,,,,,,,6 * 6,2.0,,,,,,,12.69,12.65,1.98,394.28,6.190195999999999,1.2380392,4.952156799999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-52(0.50),0.9,32.0,,,,,,,,,,,,,,,3.20 * 3.20,2.0,,,5.87,,0.5,104.3,1.6375099999999998,0.32750199999999996,1.3100079999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-52(1.00),1.1,32.0,,,,,,,,,,,,,,,4 * 4,2.0,,,7.22,7.22,0.93,160.8,2.52456,0.504912,2.019648
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-52(1.50),1.3,32.0,,,,,,,,,,,,,,,4.70 * 4.70,2.0,,,8.46,,1.46,234.74,3.685418,0.7370836000000001,2.9483344
,,,,,,,,,,,,,,,,,,,,,,,,,,,
