SKU Code,Diamond Size(mm),Diamond Count,Diamond (Baguette),Diamond Count.1,Diamond (Pear),Diamond Count.2,Diamond (Princess),Diamond Count.3,Diamond (Cushion),Diamond Count.4,Diamond (Oval),Diamond Count.5,Diamond (Emerald),Diamond Count.6,Diamond (Heart),Diamond Count.7,Diamond (Radiant),Diamond Count.8,Diamond (Marquise),Diamond Count.9,Length(mm),Width(mm),Diamond Wt,Volume,Casting Gold Wt(18kt),Est.Final Gold Wt(18kt)
DOC-PD-15049 Size 2,1.3,24.0,,,,,,,,,,,6.5*4.5,1.0,,,,,,,17.76,8.19,0.97,162.61,2.552977,2.0423816
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15049 Size 3,1.45,24.0,,,,,,,,,,,7.3*5.3,1.0,,,,,,,19.87,9.2,1.52,206.51,3.242207,2.5937656
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15049 Size 4,1.55,24.0,,,,,,,,,,,7.7*5.7,1.0,,,,,,,21.25,9.9,1.73,246.86,3.875702,3.1005616
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15050 Size 1,1.1,22.0,,,5.8*3.8,1,,,,,,,,,,,,,,,15.91,6.88,0.42,97.97,1.538129,1.2305032
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15050 Size 2,1.4,22.0,,,7*5,1,,,,,,,,,,,,,,,19.59,9.05,0.86,160.57,2.520949,2.0167592
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15050 Size 3,1.5,22.0,,,8*6,1,,,,,,,,,,,,,,,21.42,9.61,1.16,194.87,3.059459,2.4475672
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15050 Size 4,1.6,22.0,,,8.5*6.5,1,,,,,,,,,,,,,,,22.53,10.27,1.46,233.97,3.673329,2.9386632
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15051 Size 1,1.1,27.0,,,,,,,,,,,,,4.75*4.75,1.0,,,,,16.26,10.11,0.52,122.01,1.915557,1.5324456
,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15051 Size 2,1.25,27.0,,,,,,,,,,,,,6*6,1.0,,,,,18.12,11.27,0.98,163.83,2.572131,2.0577048
,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15051 Size 3,1.3,27.0,,,,,,,,,,,,,7*7,1.0,,,,,19.39,12.07,1.44,207.38,3.255866,2.6046928
,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15051 Size 4,1.5,27.0,,,,,,,,,,,,,7.5*7.5,1.0,,,,,21.84,13.59,1.74,264.81,4.157517,3.3260136
,1.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15052 Size 1,1.1,22.0,,,,,,,,,,,4*4,1.0,,,,,,,13.59,7.27,0.49,87.46,1.373122,1.0984976
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15052 Size 2,1.3,22.0,,,,,,,,,,,5*5,1.0,,,,,,,16.33,8.71,0.93,136.5,2.14305,1.71444
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15052 Size 3,1.5,22.0,,,,,,,,,,,5.8*5.8,1.0,,,,,,,18.89,9.96,1.39,198.42,3.115194,2.4921552
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15052 Size 4,1.6,22.0,,,,,,,,,,,6.5*6.5,1.0,,,,,,,19.99,10.46,1.99,226.03,3.548671,2.8389368
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15053 Size 1,1.0,26.0,,,,,,,,,,,,,,,5.4*3.4,1.0,,,14.45,6.56,0.51,92.91,1.458687,1.1669496
